brake_temp,brake_fluid,oil_pressure,engine_temp,tire_pressure,mileage,is_anomaly
77.8,94.1,48.9,87.7,30.5,33698,0
84.5,96.5,45.9,88.8,31.8,46711,0
84.4,93.8,42.6,98.4,30.3,7173,0
85.1,91.0,44.4,93.3,31.5,34213,0
75.3,98.1,53.8,94.2,33.2,26108,0
81.0,93.0,40.4,91.2,32.8,22374,0
81.0,96.1,45.5,99.1,34.7,49954,0
71.4,99.0,45.2,87.7,32.0,20477,0
84.8,90.0,52.3,86.9,33.3,21508,0
75.2,93.6,51.4,85.4,30.7,12808,0
86.5,90.4,48.2,85.5,30.7,17116,0
84.7,86.1,49.5,85.7,34.2,31099,0
72.1,93.5,40.0,94.0,32.1,47750,0
86.1,96.6,53.3,87.2,34.5,19554,0
87.0,86.7,50.9,98.4,34.7,33774,0
88.7,95.6,44.6,96.7,33.1,10842,0
75.9,94.4,50.2,93.1,31.3,6991,0
71.6,95.5,40.5,99.7,33.9,46439,0
78.2,86.8,49.3,94.0,34.6,44490,0
89.1,87.8,52.9,99.7,31.5,27809,0
88.1,91.6,41.2,96.5,31.6,25397,0
71.3,90.1,52.8,91.9,32.4,36869,0
85.0,85.6,51.0,90.5,33.2,6909,0
80.3,93.2,43.9,98.6,34.5,42089,0
109.2,67.7,26.9,113.4,21.5,87845,1
81.2,90.2,50.0,92.8,34.6,41326,0
110.2,68.7,24.4,112.3,24.8,89055,1
88.4,88.9,48.8,93.4,32.4,14275,0
109.8,56.6,25.7,106.4,23.6,87152,1
86.2,85.8,53.2,93.8,32.0,39705,0
85.8,89.2,52.6,99.4,31.2,26160,0
87.5,85.0,46.1,88.0,32.0,7892,0
106.4,62.8,21.8,108.9,21.9,97070,1
108.3,64.5,26.7,111.4,24.6,99940,1
72.3,90.9,40.9,95.4,30.4,25982,0
71.0,91.0,54.2,91.0,33.0,29785,0
79.1,87.9,51.2,86.2,34.7,25093,0
109.4,56.9,22.4,116.7,23.4,99745,1
102.7,64.8,24.1,113.5,24.8,93936,1
88.8,91.0,54.0,88.6,31.4,17997,0
77.7,92.4,48.0,88.2,31.1,45350,0
104.6,58.0,18.9,107.1,24.2,84106,1
86.6,94.1,42.9,96.1,35.0,25152,0
73.7,98.5,49.4,85.2,32.7,17860,0
83.4,86.8,46.1,88.9,34.9,28713,0
86.3,86.9,52.9,99.2,32.2,33979,0
70.9,92.6,48.9,98.0,33.5,46067,0
113.5,64.1,26.9,108.2,20.7,96559,1
77.3,95.2,48.4,95.7,32.0,11059,0
84.4,88.5,53.5,99.9,33.5,27163,0
102.6,66.4,20.3,115.4,24.2,97004,1
112.9,66.9,24.0,112.4,22.9,88792,1
84.7,86.7,43.8,95.6,33.3,23188,0
74.0,97.6,45.9,88.0,32.9,8335,0
80.4,85.0,40.0,88.2,34.4,20559,0
78.2,88.8,51.7,97.7,34.1,28631,0
82.5,86.4,39.4,95.7,31.6,49424,0
82.2,94.3,50.6,99.6,32.6,13513,0
82.1,93.4,53.6,94.8,34.7,24641,0
75.1,94.5,48.5,95.1,33.6,7640,0
76.2,93.3,43.7,94.6,31.9,44049,0
103.3,65.9,20.3,108.6,22.8,97345,1
109.2,57.6,19.7,116.1,20.6,99807,1
83.9,89.6,43.4,86.8,31.7,26428,0
83.3,91.6,44.5,98.3,31.7,48716,0
73.1,87.1,42.5,94.5,30.8,39084,0
71.4,95.9,52.0,97.4,30.1,47899,0
74.4,88.4,52.6,95.7,32.4,37920,0
70.3,94.6,44.7,89.7,32.8,19904,0
104.9,64.0,18.1,115.4,24.0,86498,1
75.5,90.8,47.5,94.2,34.1,10100,0
76.1,97.7,50.4,96.3,33.6,7302,0
75.5,95.0,53.1,86.6,34.7,5115,0
82.8,93.2,38.9,98.2,31.6,41465,0
83.1,87.0,43.3,92.7,30.2,27375,0
72.9,85.5,47.4,89.0,31.9,6210,0
79.3,96.5,54.0,97.0,34.4,6286,0
78.2,93.3,46.7,86.4,31.1,29496,0
71.6,98.5,44.9,85.9,30.6,25461,0
86.9,90.3,44.1,91.8,31.6,24067,0
70.5,99.9,43.3,91.9,30.5,10623,0
71.7,96.7,39.8,85.5,34.7,26409,0
106.8,66.8,18.8,116.7,23.3,80701,1
77.6,89.4,43.6,89.7,31.4,17864,0
89.4,97.0,40.7,99.5,33.1,30159,0
75.0,99.2,50.9,86.8,33.4,37278,0
87.3,95.8,50.8,93.0,32.2,12124,0
89.1,90.1,43.6,95.8,32.8,17848,0
