vehicle_age,mileage,days_since_last_service,oil_pressure,engine_temperature,tire_pressure,brake_fluid_level,brake_temperature,driving_pattern,days_until_failure,failure_probability,component_at_risk,brake_temp_deviation,oil_pressure_deviation,avg_daily_mileage,brake_risk_score,engine_risk_score,sensor_variance,mileage_category,driving_encoded
5,72609,114,36.2,85.5,34.5,93.3,90.0,city,21,49.4,oil_system,10.0,-9.799999999999997,39.76396495071194,0.5649725000000001,0.7790074285714286,0.2554310984977642,1,2
1,5196,4,38.2,112.2,32.9,96.6,89.4,highway,3,98.0,engine,9.400000000000006,-7.799999999999997,14.19672131147541,0.38249000000000005,0.6619268571428572,0.22247649165707722,0,0
8,31616,208,31.5,91.7,32.6,98.4,81.2,mixed,12,54.2,oil_system,1.2000000000000028,-14.5,10.823690516946252,0.40944,0.650464,0.18435663296595464,0,1
1,70360,215,49.9,86.7,33.9,68.3,70.9,highway,11,68.3,brakes,-9.099999999999994,3.8999999999999986,192.24043715846994,0.57045,0.7768685714285715,0.37948838975731636,1,0
7,42482,85,43.1,88.8,31.0,89.3,87.3,city,168,14.0,none,7.299999999999997,-2.8999999999999986,16.620500782472615,0.492855,0.6773565714285713,0.16142259284281044,0,2
7,51911,239,45.2,99.0,30.8,85.5,83.2,mixed,27,33.2,general_service,3.200000000000003,-0.7999999999999972,20.309467918622847,0.5133275,0.7733582857142858,0.1511659772676892,1,1
4,20004,226,49.2,91.3,27.0,86.8,88.5,city,15,49.1,tires,8.5,3.200000000000003,13.69199178644764,0.45021000000000005,0.6017302857142857,0.2019246733608654,0,2
5,30153,39,43.0,100.0,30.1,88.3,72.8,mixed,28,48.7,engine,-7.200000000000003,-3.0,16.513143483023,0.4075325,0.6920405714285714,0.25054801853284425,0,1
2,19209,350,23.6,85.9,33.0,85.5,75.0,highway,3,80.3,oil_system,-5.0,-22.4,26.277701778385772,0.3987725000000001,0.5676931428571428,0.2759300857287122,0,0
1,38439,121,51.6,89.6,31.7,88.0,76.4,highway,161,22.8,none,-3.5999999999999943,5.600000000000001,105.02459016393442,0.4436975,0.6657559999999999,0.3013233325844427,0,0
7,35429,39,48.1,93.0,33.9,90.2,94.7,mixed,13,66.1,brakes,14.700000000000003,2.1000000000000014,13.86111111111111,0.5016725,0.6731445714285713,0.17227847977769517,0,1
9,30007,114,49.8,112.2,30.2,97.0,80.2,mixed,6,88.5,engine,0.20000000000000284,3.799999999999997,9.131771150334753,0.40631750000000005,0.7611708571428571,0.3022479143501654,0,1
9,66099,230,49.0,102.1,30.1,94.8,74.7,city,14,75.4,engine,-5.299999999999997,3.0,20.11533779671333,0.4822475,0.8478245714285715,0.27710902935681664,1,2
10,12392,314,54.5,104.8,32.1,98.1,84.6,mixed,18,27.4,engine,4.599999999999994,8.5,3.39413859216653,0.3760300000000001,0.6484251428571428,0.22850140869239283,0,1
2,38012,221,40.7,90.7,30.4,99.8,82.8,city,154,16.5,none,2.799999999999997,-5.299999999999997,52.0,0.42693000000000003,0.6703337142857142,0.13763191409251696,0,2
1,65243,40,48.8,90.0,32.0,86.2,91.6,highway,14,71.1,brakes,11.599999999999994,2.799999999999997,178.25956284153006,0.5778075,0.7752577142857142,0.193684329811455,1,0
7,7639,277,45.2,101.0,32.4,87.9,85.4,city,27,45.4,engine,5.400000000000006,-0.7999999999999972,2.9886541471048513,0.40304750000000006,0.6076988571428572,0.14697420601438901,0,2
8,29798,113,41.4,89.6,33.0,94.5,70.5,mixed,106,2.7,none,-9.5,-4.600000000000001,10.201300924340979,0.375745,0.631192,0.3017533018765058,0,1
6,9641,74,54.4,98.7,32.6,51.7,113.6,highway,6,89.2,brakes,33.599999999999994,8.399999999999999,4.400273847558193,0.6475525,0.6025640000000001,0.1961724330086598,0,0
6,14308,33,53.8,112.3,34.7,99.7,81.6,highway,5,91.6,engine,1.5999999999999943,7.799999999999997,6.5303514376996805,0.36322000000000004,0.6989462857142856,0.3038945618184923,0,0
7,42168,237,53.6,96.4,33.8,55.3,107.4,city,6,94.7,brakes,27.400000000000006,7.600000000000001,16.497652582159624,0.69147,0.719529142857143,0.1752608656146573,0,2
8,37658,106,54.8,99.8,30.8,67.5,77.3,highway,14,64.4,brakes,-2.700000000000003,8.799999999999997,12.892160219103047,0.5170950000000001,0.7209177142857143,0.29239966203516143,0,0
4,86372,187,46.3,92.3,34.4,86.8,88.5,mixed,13,66.4,general_service,8.5,0.29999999999999716,59.11841204654346,0.6161300000000001,0.8729165714285714,0.20383190195717638,2,1
4,36586,296,49.2,106.8,34.5,90.8,75.6,mixed,5,93.5,engine,-4.400000000000006,3.200000000000003,25.041752224503764,0.426065,0.7566297142857142,0.31980366783993636,0,1
5,36732,156,54.2,112.2,31.0,96.1,76.3,highway,2,77.9,engine,-3.700000000000003,8.200000000000003,20.116100766703177,0.41068000000000005,0.7880708571428572,0.3569403840747734,0,0
2,13590,327,38.3,92.2,34.5,88.2,73.4,city,96,16.9,none,-6.599999999999994,-7.700000000000003,18.590971272229822,0.368875,0.5812171428571429,0.2933926392671969,0,2
6,63310,4,38.7,102.7,33.9,93.2,80.3,city,8,60.6,engine,0.29999999999999716,-7.299999999999997,28.895481515289823,0.5032749999999999,0.8400971428571429,0.22493476127387158,1,2
9,14166,299,49.2,87.4,32.8,92.1,72.1,mixed,148,7.3,none,-7.900000000000006,3.200000000000003,4.311016433353622,0.351465,0.5560925714285715,0.3426064104688222,0,1
5,33660,183,52.4,103.0,33.2,97.8,83.6,city,9,74.2,engine,3.5999999999999943,6.399999999999999,18.433734939759034,0.42625,0.7232114285714285,0.22239726665965817,0,2
9,10016,2,53.1,93.7,28.3,93.1,81.0,city,30,52.1,tires,1.0,7.100000000000001,3.0480827754108337,0.3731900000000001,0.5754925714285714,0.25596616353472396,0,2
8,55812,54,35.5,91.5,34.5,86.2,77.9,highway,18,46.7,oil_system,-2.0999999999999943,-10.5,19.107155083875384,0.49943000000000004,0.7461051428571428,0.2572310654316176,1,0
1,46682,123,39.9,106.3,30.7,99.9,76.7,mixed,1,76.5,engine,-3.299999999999997,-6.100000000000001,127.5464480874317,0.423855,0.7941565714285714,0.2507129527922606,0,1
3,33162,101,51.9,94.7,31.8,87.4,79.3,highway,100,23.6,none,-0.7000000000000028,5.899999999999999,30.25729927007299,0.44420499999999996,0.6737908571428571,0.2574886962822872,0,0
9,10307,288,33.1,88.3,33.7,95.0,81.9,mixed,11,59.6,oil_system,1.9000000000000057,-12.899999999999999,3.136640292148509,0.37086750000000007,0.5457994285714286,0.2282163111035726,0,1
4,7472,66,42.9,103.5,32.6,86.8,88.0,city,21,36.9,engine,8.0,-3.1000000000000014,5.114305270362765,0.41688000000000003,0.6213165714285714,0.12612061464635949,0,2
9,65425,214,35.7,88.5,31.9,99.0,78.3,highway,18,32.9,oil_system,-1.7000000000000028,-10.299999999999997,19.910225197808884,0.4802625,0.7674142857142856,0.1958557668054122,1,0
5,44549,149,20.7,86.8,32.8,96.9,85.7,mixed,2,82.4,oil_system,5.700000000000003,-25.3,24.397042716319824,0.46502249999999995,0.674196,0.2633451044806374,0,1
8,26381,81,51.1,97.5,24.2,94.8,81.0,highway,2,87.7,tires,1.0,5.100000000000001,9.031496062992126,0.40815250000000003,0.6626668571428571,0.2901122227769984,0,0
1,37122,302,49.2,91.2,33.3,86.0,72.5,city,167,14.9,none,-7.5,3.200000000000003,101.42622950819673,0.431805,0.6696308571428571,0.3285136862711031,0,2
4,43375,268,52.6,92.2,30.8,98.1,76.3,highway,32,6.0,none,-3.700000000000003,6.600000000000001,29.688569472963724,0.4202875000000001,0.7003571428571429,0.29163245669149784,0,0
4,38449,357,52.4,99.9,30.1,85.4,83.9,mixed,61,4.3,none,3.9000000000000057,6.399999999999999,26.31690622861054,0.48282250000000004,0.7246531428571429,0.2103792196028919,0,1
5,38201,123,54.8,92.2,22.0,86.1,85.8,highway,6,78.7,tires,5.799999999999997,8.799999999999997,20.920591456736034,0.4873525,0.679661142857143,0.3613155883664216,0,0
