vehicle_age,mileage,days_since_last_service,oil_pressure,engine_temperature,tire_pressure,brake_fluid_level,brake_temperature,driving_pattern,days_until_failure,failure_probability,component_at_risk
5,72609,114,36.2,85.5,34.5,93.3,90.0,city,21,49.4,oil_system
1,5196,4,38.2,112.2,32.9,96.6,89.4,highway,3,98.0,engine
8,31616,208,31.5,91.7,32.6,98.4,81.2,mixed,12,54.2,oil_system
1,70360,215,49.9,86.7,33.9,68.3,70.9,highway,11,68.3,brakes
7,42482,85,43.1,88.8,31.0,89.3,87.3,city,168,14.0,none
7,51911,239,45.2,99.0,30.8,85.5,83.2,mixed,27,33.2,general_service
4,20004,226,49.2,91.3,27.0,86.8,88.5,city,15,49.1,tires
5,30153,39,43.0,100.0,30.1,88.3,72.8,mixed,28,48.7,engine
2,19209,350,23.6,85.9,33.0,85.5,75.0,highway,3,80.3,oil_system
1,38439,121,51.6,89.6,31.7,88.0,76.4,highway,161,22.8,none
7,35429,39,48.1,93.0,33.9,90.2,94.7,mixed,13,66.1,brakes
9,30007,114,49.8,112.2,30.2,97.0,80.2,mixed,6,88.5,engine
9,66099,230,49.0,102.1,30.1,94.8,74.7,city,14,75.4,engine
10,12392,314,54.5,104.8,32.1,98.1,84.6,mixed,18,27.4,engine
2,38012,221,40.7,90.7,30.4,99.8,82.8,city,154,16.5,none
1,65243,40,48.8,90.0,32.0,86.2,91.6,highway,14,71.1,brakes
7,7639,277,45.2,101.0,32.4,87.9,85.4,city,27,45.4,engine
8,29798,113,41.4,89.6,33.0,94.5,70.5,mixed,106,2.7,none
6,9641,74,54.4,98.7,32.6,51.7,113.6,highway,6,89.2,brakes
6,14308,33,53.8,112.3,34.7,99.7,81.6,highway,5,91.6,engine
7,42168,237,53.6,96.4,33.8,55.3,107.4,city,6,94.7,brakes
8,37658,106,54.8,99.8,30.8,67.5,77.3,highway,14,64.4,brakes
4,86372,187,46.3,92.3,34.4,86.8,88.5,mixed,13,66.4,general_service
4,36586,296,49.2,106.8,34.5,90.8,75.6,mixed,5,93.5,engine
5,36732,156,54.2,112.2,31.0,96.1,76.3,highway,2,77.9,engine
2,13590,327,38.3,92.2,34.5,88.2,73.4,city,96,16.9,none
6,63310,4,38.7,102.7,33.9,93.2,80.3,city,8,60.6,engine
9,14166,299,49.2,87.4,32.8,92.1,72.1,mixed,148,7.3,none
5,33660,183,52.4,103.0,33.2,97.8,83.6,city,9,74.2,engine
9,10016,2,53.1,93.7,28.3,93.1,81.0,city,30,52.1,tires
8,55812,54,35.5,91.5,34.5,86.2,77.9,highway,18,46.7,oil_system
1,46682,123,39.9,106.3,30.7,99.9,76.7,mixed,1,76.5,engine
3,33162,101,51.9,94.7,31.8,87.4,79.3,highway,100,23.6,none
9,10307,288,33.1,88.3,33.7,95.0,81.9,mixed,11,59.6,oil_system
4,7472,66,42.9,103.5,32.6,86.8,88.0,city,21,36.9,engine
9,65425,214,35.7,88.5,31.9,99.0,78.3,highway,18,32.9,oil_system
5,44549,149,20.7,86.8,32.8,96.9,85.7,mixed,2,82.4,oil_system
8,26381,81,51.1,97.5,24.2,94.8,81.0,highway,2,87.7,tires
1,37122,302,49.2,91.2,33.3,86.0,72.5,city,167,14.9,none
4,43375,268,52.6,92.2,30.8,98.1,76.3,highway,32,6.0,none
4,38449,357,52.4,99.9,30.1,85.4,83.9,mixed,61,4.3,none
5,38201,123,54.8,92.2,22.0,86.1,85.8,highway,6,78.7,tires
10,17277,73,47.9,90.3,30.3,55.1,82.4,highway,8,72.0,brakes
4,67279,248,34.2,97.4,30.9,95.2,77.4,mixed,21,42.9,oil_system
10,94750,43,46.4,96.8,33.3,94.8,77.4,city,11,69.9,general_service
9,48637,222,42.1,99.5,30.2,97.2,94.3,city,11,66.0,brakes
5,5916,221,48.0,92.9,34.9,90.2,88.9,highway,127,16.5,none
10,36574,101,48.2,97.3,33.4,88.4,71.3,mixed,45,15.8,none
7,90310,322,53.0,90.6,30.5,88.8,70.2,highway,8,66.8,general_service
2,62246,251,38.9,98.7,34.4,76.1,93.0,highway,13,52.7,brakes
2,63583,77,54.7,86.8,34.3,87.0,74.3,highway,25,31.9,general_service
10,26720,193,34.9,90.4,31.0,86.0,73.3,mixed,18,31.3,oil_system
4,45707,339,44.6,103.3,32.4,98.4,78.2,city,13,68.4,engine
9,22238,134,41.8,96.3,35.0,91.9,89.7,mixed,158,3.7,none
7,80410,219,41.4,94.8,30.6,91.3,73.0,city,10,53.7,general_service
8,62141,138,49.5,97.6,31.0,81.8,92.6,city,13,70.6,brakes
5,55733,355,41.6,104.0,34.5,86.3,71.8,highway,11,67.4,engine
6,26586,131,47.5,111.4,33.5,89.3,70.9,highway,6,89.2,engine
6,74248,135,42.7,102.2,32.8,98.3,84.1,mixed,8,76.8,engine
2,11707,55,47.0,92.5,31.0,88.9,86.7,city,100,18.3,none
3,26426,283,52.1,92.0,32.2,95.2,76.2,city,48,6.1,none
8,26293,362,26.7,94.8,34.8,85.1,81.9,mixed,4,85.9,oil_system
1,59181,283,36.9,94.8,31.9,91.4,84.6,mixed,20,45.6,oil_system
4,45953,297,45.4,96.7,32.4,88.8,78.0,mixed,35,2.2,none
5,75395,67,36.5,91.3,34.5,99.6,71.5,mixed,23,54.2,oil_system
3,8419,7,40.2,103.9,30.4,93.0,74.1,mixed,24,49.4,engine
6,31495,90,21.0,87.7,31.9,96.6,78.1,mixed,4,94.9,oil_system
3,40969,82,25.2,97.8,34.3,87.7,73.9,city,2,89.8,oil_system
1,17239,134,51.0,95.5,34.6,89.2,87.5,city,82,11.1,none
