source_file,sample_index,brake_temp,oil_pressure,engine_temp,tire_pressure,brake_fluid_level,mileage,failure_occurred,failure_type,obd_coolant_temp,obd_intake_pressure,obd_avg_speed
2017-07-05_Seat_Leon_RT_S_Stau.csv,0,60.0,40.4,80.0,31.2,89.3,81834,0,none,30.9,100.7,5.1
2017-07-05_Seat_Leon_RT_S_Stau.csv,1,106.6,19.7,91.0,21.1,54.5,64023,1,brake,91.0,143.3,104.5
2017-07-05_Seat_Leon_RT_S_Stau.csv,2,73.5,40.7,90.0,32.0,98.2,35221,0,none,90.0,117.8,26.6
2017-07-05_Seat_Leon_RT_S_Stau.csv,3,97.8,33.6,92.0,26.0,76.7,53576,1,fluid,92.0,97.6,10.0
2017-07-05_Seat_Leon_RT_S_Stau.csv,4,104.6,31.2,90.0,26.8,82.6,34339,1,fluid,90.0,191.4,118.2
2017-07-05_Seat_Leon_RT_S_Stau.csv,5,69.5,41.5,89.0,33.6,93.1,48645,0,none,89.0,113.2,67.3
2017-07-05_Seat_Leon_RT_S_Stau.csv,6,97.3,30.1,90.0,28.1,71.4,39235,1,brake,90.0,113.3,99.7
2017-07-05_Seat_Leon_RT_S_Stau.csv,7,76.6,54.0,91.0,30.9,89.6,61338,0,none,91.0,201.8,123.6
2017-07-05_Seat_Leon_RT_S_Stau.csv,8,99.3,33.1,93.0,26.8,78.9,76611,1,fluid,93.0,100.6,3.9
2017-07-05_Seat_Leon_RT_S_Stau.csv,9,62.7,54.3,80.0,30.6,91.3,64030,0,none,80.0,107.5,58.9
2017-07-05_Seat_Leon_RT_S_Stau.csv,10,97.6,28.2,91.0,27.9,73.1,69322,0,none,91.0,132.2,81.1
2017-07-05_Seat_Leon_RT_S_Stau.csv,11,77.6,51.6,90.0,30.1,94.7,72532,0,none,90.0,106.0,9.6
2017-07-05_Seat_Leon_RT_S_Stau.csv,12,102.1,30.8,91.0,26.6,80.4,26463,0,none,91.0,106.6,21.6
2017-07-05_Seat_Leon_RT_S_Stau.csv,13,99.0,32.3,91.0,26.9,79.7,49924,0,none,91.0,103.1,7.0
2017-07-05_Seat_Leon_RT_S_Stau.csv,14,103.2,33.0,90.0,28.0,75.9,46403,1,brake,90.0,111.7,31.7
2017-07-05_Seat_Leon_S_KA_Normal.csv,0,60.0,38.3,80.0,31.7,97.9,69587,0,none,58.0,97.0,0.0
2017-07-05_Seat_Leon_S_KA_Normal.csv,1,69.7,28.2,80.0,26.4,81.4,52985,1,tire,61.1,101.4,2.1
2017-07-05_Seat_Leon_S_KA_Normal.csv,2,101.1,32.3,90.0,27.5,78.3,59503,1,fluid,90.0,115.8,81.3
2017-07-05_Seat_Leon_S_KA_Normal.csv,3,76.6,52.9,91.0,33.5,99.3,38505,0,none,91.0,194.2,114.0
2017-07-05_Seat_Leon_S_KA_Normal.csv,4,60.0,51.6,80.0,32.0,95.3,21025,0,none,62.0,134.1,54.0
2017-07-05_Seat_Leon_S_KA_Normal.csv,5,100.2,34.3,90.0,28.9,72.8,10536,1,tire,90.0,117.4,48.6
